ID,sex,race,grad,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,gender,parttime,male,race1,race2,Dropout,other,asian,black,hisp,pass_bar,bar,bar_passed,tier,index6040,indxgrp,indxgrp2,dnn_bar_pass_prediction,gpa
847,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
862,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,713.157879,g 700+,g 700-760,0.9798045,3.5
879,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,871.052609,g 700+,i 820+,0.9798045,3.5
888,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,839.473663,g 700+,i 820+,0.9798045,3.5
894,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
918,1.0,7.0,Y,P,7.0,P,94.0,1.0,2.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,713.157879,g 700+,g 700-760,0.9798045,3.5
920,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,2.0,744.736825,g 700+,g 700-760,0.9798045,3.5
967,1.0,7.0,Y,P,7.0,P,94.0,1.0,1.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,855.263136,g 700+,i 820+,0.9798045,3.5
1006,2.0,2.0,Y,P,7.0,P,94.0,1.0,2.0,male,0.0,1.0,asian,c other,NO,0,1,0,0,1,a Passed 1st time,True,4.0,760.526298,g 700+,h 760-820,0.9798045,3.5
1018,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,918.421028,g 700+,i 820+,0.9798045,3.5
1054,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1081,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,760.526298,g 700+,h 760-820,0.9798045,3.5
1091,2.0,7.0,Y,F,7.0,P,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,2.0,744.736825,g 700+,g 700-760,0.9798045,3.5
1143,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,776.315771,g 700+,h 760-820,0.9798045,3.5
1145,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,787.3684021,g 700+,h 760-820,0.9798045,3.5
1147,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,871.052609,g 700+,i 820+,0.9798045,3.5
1161,2.0,4.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,True,5.0,681.578933,f 640-700,f 640-700,0.9798045,3.5
1178,1.0,7.0,Y,P,7.0,P,94.0,1.0,2.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,855.263136,g 700+,i 820+,0.9798045,3.5
1189,2.0,7.0,Y,F,7.0,P,96.0,2.0,3.0,male,1.0,1.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,3.0,744.736825,g 700+,g 700-760,0.9798045,3.5
1191,2.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,878.9473455,g 700+,i 820+,0.9798045,3.5
1194,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,2.0,649.999987,f 640-700,f 640-700,0.9798045,3.5
1200,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1211,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,776.315771,g 700+,h 760-820,0.9798045,3.5
1253,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
1280,2.0,7.0,Y,F,7.0,P,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,True,6.0,886.842082,g 700+,i 820+,0.9798045,3.5
1300,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,871.052609,g 700+,i 820+,0.9798045,3.5
1343,2.0,3.0,Y,F,7.0,P,95.0,1.0,,male,0.0,1.0,black,a black,NO,0,0,1,0,1,b Passed 2nd time,True,5.0,776.315771,g 700+,h 760-820,0.9798045,3.5
1348,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1390,1.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,839.473663,g 700+,i 820+,0.9798045,3.5
1397,2.0,7.0,Y,F,7.0,F,94.0,1.0,2.0,male,0.0,1.0,white,b white,NO,0,0,0,0,0,c Failed,False,3.0,902.631555,g 700+,i 820+,0.9798045,3.5
1399,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,705.2631425,g 700+,g 700-760,0.9798045,3.5
1409,2.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,744.736825,g 700+,g 700-760,0.9798045,3.5
1427,1.0,7.0,Y,F,7.0,F,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,0,c Failed,False,1.0,649.999987,f 640-700,f 640-700,0.9798045,3.5
1460,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
1462,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,807.894717,g 700+,h 760-820,0.9798045,3.5
1466,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,823.68419,g 700+,i 820+,0.9798045,3.5
1525,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,902.631555,g 700+,i 820+,0.9798045,3.5
1527,1.0,7.0,Y,P,7.0,P,94.0,1.0,2.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,744.736825,g 700+,g 700-760,0.9798045,3.5
1562,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,649.999987,f 640-700,f 640-700,0.9798045,3.5
1566,2.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,918.421028,g 700+,i 820+,0.9798045,3.5
1581,1.0,7.0,Y,P,7.0,P,95.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,886.842082,g 700+,i 820+,0.9798045,3.5
1583,1.0,7.0,Y,P,7.0,P,94.0,1.0,,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,823.68419,g 700+,i 820+,0.9798045,3.5
1593,1.0,7.0,Y,P,2.0,P,95.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,855.263136,g 700+,i 820+,0.9798045,3.5
1596,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,697.368406,f 640-700,f 640-700,0.9798045,3.5
1621,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,871.052609,g 700+,i 820+,0.9798045,3.5
1625,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,673.6841965,f 640-700,f 640-700,0.9798045,3.5
1634,1.0,7.0,Y,P,7.0,P,95.0,1.0,1.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,744.736825,g 700+,g 700-760,0.9798045,3.5
1636,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,728.947352,g 700+,g 700-760,0.9798045,3.5
1678,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1698,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,713.157879,g 700+,g 700-760,0.9798045,3.5
1729,2.0,7.0,Y,P,7.0,P,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,760.526298,g 700+,h 760-820,0.9798045,3.5
1738,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,839.473663,g 700+,i 820+,0.9798045,3.5
1743,2.0,7.0,Y,P,7.0,P,94.0,1.0,,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,871.052609,g 700+,i 820+,0.9798045,3.5
1746,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,823.68419,g 700+,i 820+,0.9798045,3.5
1792,2.0,3.0,Y,P,7.0,P,94.0,1.0,2.0,male,0.0,1.0,black,a black,NO,0,0,1,0,1,a Passed 1st time,True,1.0,559.9999909,d 520-580,d 520-580,0.9798045,3.5
1812,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,855.263136,g 700+,i 820+,0.9798045,3.5
1825,2.0,7.0,Y,P,7.0,P,95.0,2.0,3.0,male,1.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,5.0,934.210501,g 700+,i 820+,0.9798045,3.5
1873,2.0,7.0,Y,P,7.0,P,94.0,1.0,5.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,871.052609,g 700+,i 820+,0.9798045,3.5
1874,1.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,728.947352,g 700+,g 700-760,0.9798045,3.5
1876,2.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,665.78946,f 640-700,f 640-700,0.9798045,3.5
1888,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1894,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,886.842082,g 700+,i 820+,0.9798045,3.5
1897,2.0,7.0,Y,P,7.0,P,95.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,871.052609,g 700+,i 820+,0.9798045,3.5
1901,2.0,7.0,Y,P,2.0,P,94.0,1.0,4.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,902.631555,g 700+,i 820+,0.9798045,3.5
1915,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,6.0,713.157879,g 700+,g 700-760,0.9798045,3.5
1955,2.0,7.0,Y,P,2.0,P,95.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,792.105244,g 700+,h 760-820,0.9798045,3.5
1964,1.0,7.0,Y,P,7.0,P,94.0,1.0,4.0,female,0.0,0.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,3.0,839.473663,g 700+,i 820+,0.9798045,3.5
1995,2.0,7.0,Y,P,7.0,P,94.0,1.0,3.0,male,0.0,1.0,white,b white,NO,0,0,0,0,1,a Passed 1st time,True,4.0,776.315771,g 700+,h 760-820,0.9798045,3.5
2000,1.0,7.0,Y,F,2.0,F,95.0,1.0,5.0,female,0.0,0.0,white,b white,NO,0,0,0,0,0,c Failed,False,4.0,586.842095,e 580-640,e 580-640,0.9798045,3.5
2004,1.0,4.0,Y,P,7.0,P,94.0,1.0,3.0,female,0.0,0.0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,True,4.0,823.68419,g 700+,i 820+,0.9798045,3.5
