job,marital,default,housing,loan,contact,month,poutcome,deposit
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,yes,unknown,may,unknown,yes
retired,married,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
retired,married,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
technician,married,no,no,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
unknown,married,no,yes,yes,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
management,married,no,no,no,unknown,may,unknown,yes
retired,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,yes,unknown,may,unknown,yes
self-employed,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,yes,unknown,may,unknown,yes
services,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
admin.,divorced,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,yes,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
services,divorced,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,yes,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,yes,unknown,may,unknown,yes
technician,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,yes,unknown,may,unknown,yes
blue-collar,single,yes,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,yes,unknown,may,unknown,yes
retired,married,no,no,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
self-employed,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
management,divorced,no,no,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
technician,divorced,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,no,no,unknown,may,unknown,yes
self-employed,single,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,no,unknown,may,unknown,yes
admin.,divorced,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
retired,single,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,no,yes,yes,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
admin.,single,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
services,divorced,no,yes,yes,unknown,may,unknown,yes
management,married,no,no,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
self-employed,single,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,no,unknown,may,unknown,yes
services,single,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
student,single,no,yes,no,unknown,may,unknown,yes
entrepreneur,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,yes,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
admin.,married,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
technician,married,no,yes,no,unknown,may,unknown,yes
blue-collar,single,no,yes,yes,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
admin.,divorced,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,no,yes,no,unknown,may,unknown,yes
management,divorced,no,yes,no,unknown,may,unknown,yes
technician,divorced,no,yes,no,unknown,may,unknown,yes
technician,divorced,no,yes,no,unknown,may,unknown,yes
services,married,no,yes,no,unknown,may,unknown,yes
unemployed,married,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,yes,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
technician,single,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,no,yes,no,unknown,may,unknown,yes
management,single,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,no,yes,no,unknown,may,unknown,yes
blue-collar,married,no,yes,no,unknown,may,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
services,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,yes,unknown,jun,unknown,yes
services,married,no,yes,no,unknown,jun,unknown,yes
technician,married,no,yes,no,unknown,jun,unknown,yes
services,married,no,yes,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
technician,single,yes,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
management,divorced,yes,yes,no,unknown,jun,unknown,yes
technician,single,no,yes,no,unknown,jun,unknown,yes
unemployed,married,no,yes,yes,unknown,jun,unknown,yes
self-employed,married,yes,yes,yes,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
services,single,no,yes,no,unknown,jun,unknown,yes
services,single,no,yes,no,unknown,jun,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,yes,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,no,yes,no,unknown,jun,unknown,yes
admin.,married,no,yes,no,unknown,jun,unknown,yes
technician,single,no,yes,no,unknown,jun,unknown,yes
management,divorced,no,yes,no,unknown,jun,unknown,yes
admin.,divorced,no,yes,no,unknown,jun,unknown,yes
services,single,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
management,single,yes,yes,no,unknown,jun,unknown,yes
services,single,no,yes,no,unknown,jun,unknown,yes
self-employed,married,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
admin.,divorced,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
retired,divorced,no,yes,no,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
management,single,no,no,no,unknown,jun,unknown,yes
admin.,single,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
services,divorced,no,no,no,unknown,jun,unknown,yes
housemaid,married,no,no,yes,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
housemaid,divorced,yes,no,no,unknown,jun,unknown,yes
housemaid,married,no,no,no,unknown,jun,unknown,yes
self-employed,married,no,yes,no,unknown,jun,unknown,yes
technician,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
technician,single,no,yes,no,unknown,jun,unknown,yes
admin.,married,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,no,no,yes,unknown,jun,unknown,yes
admin.,single,no,yes,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
services,divorced,no,yes,no,unknown,jun,unknown,yes
technician,married,no,no,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
management,single,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
management,divorced,no,yes,no,unknown,jun,unknown,yes
services,married,no,no,no,unknown,jun,unknown,yes
management,single,no,no,no,unknown,jun,unknown,yes
self-employed,divorced,no,no,no,unknown,jun,unknown,yes
technician,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,no,no,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
self-employed,single,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
admin.,single,no,no,yes,unknown,jun,unknown,yes
admin.,married,no,no,no,unknown,jun,unknown,yes
management,married,no,no,yes,unknown,jun,unknown,yes
housemaid,married,no,no,yes,unknown,jun,unknown,yes
retired,married,no,no,no,unknown,jun,unknown,yes
retired,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
blue-collar,divorced,no,no,no,unknown,jun,unknown,yes
unemployed,married,no,no,no,unknown,jun,unknown,yes
admin.,single,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
admin.,married,no,no,no,unknown,jun,unknown,yes
self-employed,married,no,no,no,unknown,jun,unknown,yes
housemaid,single,no,no,no,unknown,jun,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
management,divorced,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,yes,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
retired,divorced,no,yes,yes,unknown,jun,unknown,yes
entrepreneur,single,no,no,no,unknown,jun,unknown,yes
services,married,no,no,no,unknown,jun,unknown,yes
blue-collar,divorced,no,yes,no,unknown,jun,unknown,yes
unemployed,single,no,no,no,unknown,jun,unknown,yes
management,single,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,no,yes,unknown,jun,unknown,yes
technician,married,no,yes,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
technician,divorced,no,no,no,unknown,jun,unknown,yes
student,single,no,no,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
self-employed,single,no,no,no,unknown,jun,unknown,yes
services,divorced,no,no,no,unknown,jun,unknown,yes
admin.,married,no,yes,no,unknown,jun,unknown,yes
management,single,no,no,no,unknown,jun,unknown,yes
blue-collar,single,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,no,no,no,unknown,jun,unknown,yes
technician,married,no,yes,yes,unknown,jun,unknown,yes
admin.,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,no,yes,unknown,jun,unknown,yes
blue-collar,divorced,no,no,no,unknown,jun,unknown,yes
retired,divorced,no,no,yes,unknown,jun,unknown,yes
technician,married,no,no,no,unknown,jun,unknown,yes
housemaid,married,no,no,no,unknown,jun,unknown,yes
services,married,no,yes,no,unknown,jun,unknown,yes
entrepreneur,married,yes,no,no,unknown,jun,unknown,yes
retired,married,no,no,no,unknown,jun,unknown,yes
blue-collar,single,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,no,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
unemployed,married,no,no,no,unknown,jun,unknown,yes
services,married,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
retired,married,no,no,no,unknown,jun,unknown,yes
services,married,no,no,yes,unknown,jun,unknown,yes
management,married,no,no,yes,unknown,jun,unknown,yes
management,married,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
technician,married,no,no,yes,unknown,jun,unknown,yes
management,married,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,no,yes,yes,unknown,jun,unknown,yes
services,divorced,no,no,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
management,married,no,no,no,unknown,jun,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,yes,unknown,jun,unknown,yes
services,divorced,no,no,no,unknown,jun,unknown,yes
unemployed,married,no,no,no,unknown,jun,unknown,yes
blue-collar,single,yes,no,no,unknown,jun,unknown,yes
admin.,single,no,yes,no,unknown,jun,unknown,yes
management,married,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,no,yes,no,unknown,jun,unknown,yes
technician,married,no,yes,yes,unknown,jun,unknown,yes
admin.,single,no,no,yes,unknown,jun,unknown,yes
blue-collar,married,no,no,yes,unknown,jun,unknown,yes
admin.,divorced,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,no,yes,no,unknown,jul,unknown,yes
technician,single,no,no,no,unknown,jul,unknown,yes
technician,single,no,no,no,unknown,jul,unknown,yes
services,single,no,no,yes,unknown,jul,unknown,yes
services,married,no,no,yes,unknown,jul,unknown,yes
technician,married,no,no,no,unknown,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
technician,married,no,no,no,cellular,jul,unknown,yes
technician,single,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,no,yes,no,cellular,jul,unknown,yes
services,single,no,no,no,cellular,jul,unknown,yes
entrepreneur,divorced,no,no,yes,cellular,jul,unknown,yes
technician,married,no,no,no,cellular,jul,unknown,yes
self-employed,married,no,no,no,cellular,jul,unknown,yes
unemployed,married,no,no,no,cellular,jul,unknown,yes
self-employed,single,no,no,no,cellular,jul,unknown,yes
technician,single,no,no,yes,cellular,jul,unknown,yes
admin.,divorced,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,yes,yes,yes,cellular,jul,unknown,yes
blue-collar,divorced,no,no,yes,cellular,jul,unknown,yes
technician,single,no,yes,yes,cellular,jul,unknown,yes
blue-collar,single,no,no,no,cellular,jul,unknown,yes
management,single,no,no,yes,cellular,jul,unknown,yes
entrepreneur,married,no,yes,yes,cellular,jul,unknown,yes
entrepreneur,married,yes,no,no,cellular,jul,unknown,yes
self-employed,single,no,no,no,cellular,jul,unknown,yes
technician,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
entrepreneur,divorced,no,no,yes,cellular,jul,unknown,yes
management,divorced,no,no,yes,cellular,jul,unknown,yes
services,married,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,yes,no,yes,cellular,jul,unknown,yes
technician,married,no,no,no,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
admin.,single,no,no,yes,cellular,jul,unknown,yes
technician,married,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
unemployed,single,no,no,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
admin.,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,no,no,cellular,jul,unknown,yes
services,divorced,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,no,yes,cellular,jul,unknown,yes
admin.,divorced,yes,no,yes,cellular,jul,unknown,yes
services,divorced,no,yes,no,cellular,jul,unknown,yes
management,married,yes,yes,yes,cellular,jul,unknown,yes
technician,married,no,no,yes,cellular,jul,unknown,yes
management,married,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,no,yes,yes,cellular,jul,unknown,yes
management,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,no,no,yes,cellular,jul,unknown,yes
unemployed,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,no,no,no,cellular,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,no,yes,yes,cellular,jul,unknown,yes
admin.,married,no,yes,yes,cellular,jul,unknown,yes
admin.,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
services,married,no,no,yes,cellular,jul,unknown,yes
services,married,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,no,no,no,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
technician,married,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,no,no,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,yes,cellular,jul,unknown,yes
management,single,no,no,no,cellular,jul,unknown,yes
student,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
retired,divorced,no,no,no,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
management,single,no,yes,no,cellular,jul,unknown,yes
management,divorced,no,yes,no,cellular,jul,unknown,yes
admin.,married,no,yes,no,cellular,jul,unknown,yes
technician,married,no,yes,no,cellular,jul,unknown,yes
admin.,married,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,no,no,yes,cellular,jul,unknown,yes
technician,married,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,no,yes,no,cellular,jul,unknown,yes
technician,married,no,no,yes,cellular,jul,unknown,yes
admin.,married,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,no,yes,no,cellular,jul,unknown,yes
services,divorced,no,no,yes,cellular,jul,unknown,yes
technician,married,no,yes,no,cellular,jul,unknown,yes
technician,married,no,yes,no,cellular,jul,unknown,yes
management,married,no,no,yes,cellular,jul,unknown,yes
services,single,no,no,yes,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
services,divorced,no,no,yes,cellular,jul,unknown,yes
retired,married,no,no,no,cellular,jul,unknown,yes
entrepreneur,married,no,no,yes,cellular,jul,unknown,yes
management,divorced,no,no,no,cellular,jul,unknown,yes
blue-collar,single,no,no,no,cellular,jul,unknown,yes
entrepreneur,divorced,no,no,yes,cellular,jul,unknown,yes
student,single,no,no,no,cellular,jul,unknown,yes
entrepreneur,married,no,no,no,cellular,jul,unknown,yes
management,single,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,yes,yes,cellular,jul,unknown,yes
management,single,no,yes,no,cellular,jul,unknown,yes
technician,single,no,no,no,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,no,no,cellular,jul,unknown,yes
technician,married,no,yes,yes,cellular,jul,unknown,yes
unemployed,divorced,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
admin.,single,no,no,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,yes,cellular,jul,unknown,yes
services,married,no,yes,yes,cellular,jul,unknown,yes
student,married,no,yes,no,cellular,jul,unknown,yes
management,married,no,no,yes,cellular,jul,unknown,yes
housemaid,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,yes,no,cellular,jul,unknown,yes
technician,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,no,yes,no,telephone,jul,unknown,yes
services,single,no,no,yes,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
services,single,no,yes,no,cellular,jul,unknown,yes
self-employed,divorced,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
admin.,married,no,yes,no,telephone,jul,unknown,yes
technician,single,no,no,no,cellular,jul,unknown,yes
housemaid,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,no,yes,no,cellular,jul,unknown,yes
management,divorced,no,yes,no,cellular,jul,unknown,yes
services,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,no,no,yes,cellular,jul,unknown,yes
entrepreneur,divorced,no,yes,no,cellular,jul,unknown,yes
housemaid,divorced,no,yes,no,cellular,jul,unknown,yes
services,divorced,no,yes,no,cellular,jul,unknown,yes
technician,divorced,no,no,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,yes,no,cellular,jul,unknown,yes
self-employed,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,no,yes,no,cellular,jul,unknown,yes
admin.,single,no,no,no,cellular,jul,unknown,yes
admin.,divorced,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,no,no,no,cellular,jul,unknown,yes
entrepreneur,married,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,no,no,no,cellular,jul,unknown,yes
admin.,divorced,no,no,yes,cellular,jul,unknown,yes
blue-collar,divorced,no,yes,yes,cellular,jul,unknown,yes
entrepreneur,single,no,yes,no,cellular,jul,unknown,yes
management,married,no,yes,no,cellular,jul,unknown,yes
